tech,T_conv,T_re,T_hydro,T_hydro_seasonal,T_hydro_regular,T_stor,T_vre,T_wind,T_solar,T_solar_utility,T_solar_end_use,T_h2,T_disp,T_gen
1,True,-,-,-,-,-,-,-,-,-,-,-,True,True
2,True,-,-,-,-,-,-,-,-,-,-,-,True,True
3,True,-,-,-,-,-,-,-,-,-,-,-,True,True
4,True,-,-,-,-,-,-,-,-,-,-,-,True,True
5,-,-,-,-,-,-,-,-,-,-,-,True,True,True
6,True,-,-,-,-,-,-,-,-,-,-,-,True,True
7,-,True,-,-,-,-,-,-,-,-,-,-,True,True
8,-,True,-,-,-,-,-,-,-,-,-,-,True,True
9,-,True,-,-,-,-,-,-,-,-,-,-,True,True
10_seasonal,-,True,True,True,-,-,-,-,-,-,-,-,True,True
10_regular,-,True,True,-,True,-,-,-,-,-,-,-,True,True
11,-,-,-,-,-,True,-,-,-,-,-,-,-,-
12,-,-,-,-,-,True,-,-,-,-,-,-,-,-
13,-,-,-,-,-,-,True,True,-,-,-,-,-,True
14,-,-,-,-,-,-,True,True,-,-,-,-,-,True
15_utility,-,-,-,-,-,-,True,-,True,True,-,-,-,True
15_end_use,-,-,-,-,-,-,True,-,True,-,True,-,-,True
